Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,2020-10-01 02:00 PM,2020,10,01,14,41.6,116,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 03:00 PM,2020,10,01,15,37.3,105,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 04:00 PM,2020,10,01,16,37.6,106,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 05:00 PM,2020,10,01,17,33.3,96,Moderate,29.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 06:00 PM,2020,10,01,18,39.6,111,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 07:00 PM,2020,10,01,19,49.8,136,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 08:00 PM,2020,10,01,20,49.4,135,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 09:00 PM,2020,10,01,21,47.6,131,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 10:00 PM,2020,10,01,22,53.8,146,Unhealthy for Sensitive Groups,60.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-01 11:00 PM,2020,10,01,23,57.4,152,Unhealthy,61.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 12:00 AM,2020,10,02,00,52.7,143,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 01:00 AM,2020,10,02,01,42.3,118,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 02:00 AM,2020,10,02,02,39.1,110,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 03:00 AM,2020,10,02,03,35.5,101,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 04:00 AM,2020,10,02,04,32.7,94,Moderate,30.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 05:00 AM,2020,10,02,05,35.8,102,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 06:00 AM,2020,10,02,06,49.4,135,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 07:00 AM,2020,10,02,07,45.2,125,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 08:00 AM,2020,10,02,08,50.6,138,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 09:00 AM,2020,10,02,09,75.8,161,Unhealthy,101.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 10:00 AM,2020,10,02,10,55.4,150,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 11:00 AM,2020,10,02,11,45.1,125,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 12:00 PM,2020,10,02,12,42.0,117,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 01:00 PM,2020,10,02,13,38.5,108,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,2020-10-02 02:00 PM,2020,10,02,14,31.7,92,Moderate,25.0,UG/M3,1 Hr,Valid
